scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,666,Bridge end,N1,0,0
S2,0,667,Bridge start,N1,0,0
S2,0,668,Bridge end,N1,0,0
S2,0,678,Bridge start,N1,23874,1
S2,0,679,Bridge end,N1,0,0
S2,0,681,Bridge start,N1,0,0
S2,0,682,Bridge end,N1,0,0
S2,0,688,Bridge start,N1,0,0
S2,0,689,Bridge end,N1,0,0
S2,0,690,Bridge start,N1,0,0
S2,0,691,Bridge end,N1,0,0
S2,0,709,Bridge start,N1,0,0
S2,0,710,Bridge end,N1,0,0
S2,0,712,Bridge start,N1,0,0
S2,0,713,Bridge end,N1,0,0
S2,0,726,Bridge start,N1,0,0
S2,0,728,Bridge end,N1,0,0
S2,0,739,Bridge start,N1,0,0
S2,0,740,Bridge end,N1,0,0
S2,0,743,Bridge start,N1,0,0
S2,0,744,Bridge end,N1,0,0
S2,0,746,Bridge start,N1,0,0
S2,0,747,Bridge end,N1,0,0
S2,0,755,Bridge start,N1,0,0
S2,0,756,Bridge end,N1,0,0
S2,0,760,Bridge start,N1,0,0
S2,0,761,Bridge end,N1,0,0
S2,0,788,Bridge start,N1,0,0
S2,0,789,Bridge end,N1,0,0
S2,0,800,Bridge start,N1,0,0
S2,0,801,Bridge end,N1,0,0
S2,0,807,Bridge start,N1,0,0
S2,0,808,Bridge end,N1,0,0
S2,0,821,Bridge start,N1,0,0
S2,0,822,Bridge end,N1,0,0
S2,0,832,Bridge start,N1,0,0
S2,0,833,Bridge end,N1,0,0
S2,0,846,Bridge start,N1,0,0
S2,0,847,Bridge end,N1,0,0
S2,0,853,Bridge start,N1,0,0
S2,0,854,Bridge end,N1,23971,1
S2,0,856,Bridge start,N1,0,0
S2,0,857,Bridge end,N1,0,0
S2,0,858,Box culvert,N1,0,0
S2,0,865,Bridge start,N1,0,0
S2,0,866,Bridge end,N1,0,0
S2,0,888,Bridge start,N1,0,0
S2,0,889,Bridge end,N1,0,0
S2,0,890,Bridge start,N1,0,0
S2,0,891,Bridge end,N1,0,0
S2,0,897,Bridge start,N1,0,0
S2,0,898,Bridge end,N1,0,0
S2,0,917,Bridge start,N1,0,0
S2,0,918,Bridge end,N1,0,0
S2,0,927,Bridge start,N1,0,0
S2,0,928,Bridge end,N1,22314,1
S2,0,938,Bridge start,N1,23154,1
S2,0,939,Bridge end,N1,0,0
S2,0,953,Bridge start,N1,0,0
S2,0,954,Bridge end,N1,24084,1
S2,0,960,Bridge start,N1,0,0
S2,0,961,Bridge end,N1,9579,1
S2,0,977,Bridge start,N1,24395,1
S2,0,978,Bridge end,N1,0,0
S2,0,991,Bridge start,N1,0,0
S2,0,992,Bridge end,N1,0,0
S2,0,996,Bridge start,N1,0,0
S2,0,997,Bridge end,N1,13894,1
S2,0,1033,Bridge start,N1,0,0
S2,0,1034,Bridge end,N1,0,0
S2,0,1040,Khulna Plong Bridge,N1,63825,1
S2,0,1041,Bridge end,N1,0,0
S2,0,1043,Bridge start,N1,88687,1
S2,0,1044,Bridge end,N1,0,0
S2,0,1047,Bridge start,N1,0,0
S2,0,1048,Bridge end,N1,62573,1
S2,0,1050,Bridge start,N1,24941,1
S2,0,1051,Bridge end,N1,0,0
S2,0,1057,Bridge start,N1,0,0
S2,0,1058,Bridge end,N1,0,0
S2,0,1062,Bridge start,N1,0,0
S2,0,1063,Bridge end,N1,0,0
S2,0,1068,Bridge start,N1,62216,1
S2,0,1069,Bridge end,N1,0,0
S2,0,1072,Bridge start,N1,0,0
S2,0,1073,Bridge end,N1,0,0
S2,0,1074,Bridge start,N1,0,0
S2,0,1075,Bridge end,N1,0,0
S2,0,1077,Bridge start,N1,0,0
S2,0,1078,Bridge end,N1,0,0
S2,0,1083,Bridge start,N1,62194,1
S2,0,1084,Bridge end,N1,0,0
S2,0,1085,Bridge start,N1,0,0
S2,0,1086,Bridge end,N1,0,0
S2,0,1089,Bridge start,N1,57337,1
S2,0,1090,Bridge end,N1,0,0
S2,0,1111,Bridge start,N1,0,0
S2,0,1112,Bridge end,N1,25055,1
S2,0,1116,Bridge start,N1,0,0
S2,0,1117,Bridge end,N1,0,0
S2,0,1123,Bridge start,N1,52050,1
S2,0,1124,Bridge end,N1,0,0
S2,0,1128,Bridge start,N1,0,0
S2,0,1129,Bridge end,N1,63674,1
S2,0,1141,Bridge start,N1,51610,1
S2,0,1142,Bridge end,N1,0,0
S2,0,1144,Bridge start,N1,0,0
S2,0,1145,Bridge end,N1,0,0
S2,0,1152,Bridge start,N1,0,0
S2,0,1153,Bridge end,N1,0,0
S2,0,1157,Bridge start,N1,0,0
S2,0,1158,Bridge end,N1,13057,1
S2,0,1176,Bridge start,N1,0,0
S2,0,1177,Bridge end,N1,0,0
S2,0,1191,Bridge start,N1,0,0
S2,0,1192,Bridge end,N1,0,0
S2,0,1214,Bridge start,N1,0,0
S2,0,1215,Bridge end,N1,0,0
S2,0,1218,Bridge start,N1,0,0
S2,0,1219,Bridge end,N1,0,0
S2,0,1227,Bridge start,N1,0,0
S2,0,1228,Bridge end,N1,0,0
S2,0,1234,Bridge start,N1,0,0
S2,0,1235,Bridge end,N1,59130,1
S2,0,1244,Bridge start,N1,0,0
S2,0,1245,Bridge end,N1,0,0
S2,0,1250,Bridge start,N1,0,0
S2,0,1251,Bridge end,N1,0,0
S2,0,1255,Bridge start,N1,62986,1
S2,0,1256,Bridge end,N1,0,0
S2,0,1258,Bridge start,N1,0,0
S2,0,1259,Bridge end,N1,0,0
S2,0,1268,Bridge start,N1,0,0
