truck_id,source_id,source_road,generated_at_step,removed_at_step,travel_time_min,travel_distance_m,sink_id,sink_road,scenario,replication
Truck216,1587,N104,78,229,151,120750.32294841637,2346,N2,S0,0
Truck387,1574,N102,144,229,85,67954.89974603387,1356,N102,S0,0
Truck404,1356,N102,150,229,79,62522.65011580461,2346,N2,S0,0
Truck406,2346,N2,150,229,79,62522.65011580468,1356,N102,S0,0
Truck424,1587,N104,156,229,73,58244.67283261178,1356,N102,S0,0
Truck592,0,N1,219,230,11,8361.824044117646,2346,N2,S0,0
Truck473,1709,N104,174,231,57,45539.23563910388,1587,N104,S0,0
Truck343,3231,N2,126,232,106,84651.50366666683,3346,N207,S0,0
Truck523,3329,N204,192,232,40,31360.076986546203,3237,N204,S0,0
Truck554,3237,N204,204,233,29,22927.921764430062,1356,N102,S0,0
Truck423,3511,N207,156,234,78,61712.07469908522,3346,N207,S0,0
Truck430,1710,N105,159,234,75,59502.63224849072,1356,N102,S0,0
Truck509,1826,N105,189,234,45,35419.96612285012,2346,N2,S0,0
Truck405,1574,N102,150,235,85,67954.89974603387,1356,N102,S0,0
Truck418,1356,N102,156,235,79,62522.65011580461,2346,N2,S0,0
Truck434,1710,N105,162,237,75,59502.63224849072,1356,N102,S0,0
Truck480,1710,N105,180,237,57,45559.99061658157,1826,N105,S0,0
Truck489,1709,N104,180,237,57,45539.23563910388,1587,N104,S0,0
Truck513,1826,N105,192,237,45,35419.96612285012,2346,N2,S0,0
Truck594,1710,N105,222,237,15,11286.841911431562,0,N1,S0,0
Truck357,3231,N2,132,238,106,84651.50366666683,3346,N207,S0,0
Truck630,2346,N2,234,238,4,3185.017867313915,1710,N105,S0,0
Truck410,0,N1,150,239,89,70624.47415992228,1356,N102,S0,0
Truck564,1356,N102,210,239,29,22927.92176443006,3237,N204,S0,0
Truck444,1710,N105,165,240,75,59502.63224849072,1356,N102,S0,0
