road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms
N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,Km post missing,53,82.00000000000074,KmPost,,,,
N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,Box culvert,54,974.9999999999978,Culvert,LRP021a,6.1,D,PURINDA BAZAR BOX CULVERT
N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,"Ctg 238 km,Comilla 71 km",55,130.00000000000256,KmPost,,,,
N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,Bridge start,56,18.680838709677417,Bridge,LRP022a,18.680838709677417,D,NORTH HIJOLTOLI BRIDGE (1)
N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,Bridge end,57,5.441219512195122,Bridge,LRP022b,5.441219512195122,D,FOTIKCHORI BAZAR BOX CULVERT
N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,Bridge start,58,11.473103448275863,Bridge,LRP022c,11.473103448275863,C,.
N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,Bridge end,59,4.575,Bridge,LRP022d,4.575,B,NORTH HIJOLTOLI CULVERT (2)
N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,Km post missing,60,255.00000000000256,KmPost,,,,
N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,Meghna  bridge,61,22.282499999999995,Bridge,LRP023a,22.282499999999995,D,ASHIR CHAR (Right)
N1,23.629,LRP024,23.609,90.6124722,,KmPost,Km post missing,62,65.00000000000128,KmPost,,,,
N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,Bridge end,63,32.48182481751825,Bridge,LRP024a,32.48182481751825,D,Meghna Bridge
