link_no,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length_km,heavy_truck,medium_truck,small_truck,large_bus,medium_bus,micro_bus,utility,car,auto_rickshaw,motorcycle,bicycle,cycle_rickshaw,cart,motorized_total,non_motorized_total,total_aadt,aadt,road
N805-6,Bhatiapara (Trimohoni)Int.with N806 - Ramdia (Int.with Z8419),LRP037,940,37.81,LRP049,275,49.215,11.405,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0,N805
N805-7,Ramdia (Int.with Z8419)-Bijoypasha(Int.with Z8420),LRP049,275,49.215,LRP060,365,60.305,11.090,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0,N805
N805-8,Bijoypasha(Int.with Z8420)-Gopalganj (Haridashpur Bridge)Int.with R850,LRP060,365,60.305,LRP067,360,67.28,6.975,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0,N805
N805-9,Gopalganj (Haridashpur Bridge)Int.with R850-Int.with R850,LRP067,360,67.28,LRP068,70,67.95,0.670,33.0,759.0,533.0,172.0,124.0,224.0,119.0,191.0,960.0,615.0,471.0,584.0,0.0,3730.0,1055.0,4785.0,4785.0,N805
N805-10,Gopalganj (Int.with R850)-Int.with Z8031,LRP068,70,67.95,LRP069,766,69.706,1.756,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0,N805
N805-11,Int.with Z8031-Int.with Z8408,LRP069,766,69.706,LRP071,1945,72.885,3.179,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0,N805
N805-12,Int.with Z8408-Gonapara(Int.with Z7704),LRP071,1945,72.885,LRP077,275,77.225,4.340,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0,N805
N805-13,Gonapara(Int.with Z7704)-End of Mollahat Bridge,LRP077,275,77.225,LRP079,1112,80.062,2.837,29.0,376.0,356.0,344.0,235.0,216.0,87.0,159.0,1029.0,1328.0,594.0,563.0,0.0,4159.0,1157.0,5316.0,5316.0,N805
N805-14,End of Mollahat Bridge-Faltita(Int.with Z7801),LRP079,1112,80.062,LRP096,1030,97.023,16.961,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0,N805
N805-15,Faltita(Int.with Z7801)-Fakirhat (Int.with R771),LRP096,1030,97.023,LRP099,530,100.523,3.500,44.0,624.0,541.0,530.0,322.0,311.0,176.0,225.0,920.0,1217.0,463.0,473.0,0.0,4910.0,936.0,5846.0,5846.0,N805
