road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,Box culvert,67,673.9999999999995,Culvert,LRP026b,16.88783783783784,D,BAILAKANDI CULVERT,link,POINT (90.6293327 23.5917497),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,Km post missing,68,316.0000000000025,KmPost,,,,,link,POINT (90.6313882 23.5896108),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,27.503,LRP027a,23.5837497,90.6369441,,Bridge,Bridge start,69,18.93525,Bridge,LRP027a,18.93525,D,MALUAKANDI CULVEDRT,bridge,POINT (90.6369441 23.5837497),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,Km post missing,70,126.00000000000122,KmPost,,,,,link,POINT (90.6378886 23.5828327),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,27.668,LRP028a,23.5825827,90.6381386,BS,Bridge,Bridge end,71,20.14310606060606,Bridge,LRP028a,20.14310606060606,D,Bhater char Bridge (R),bridge,POINT (90.6381386 23.5825827),N1-9L,244.0,4999.0,1005.0,41668.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,28.324,LRP028b,23.577916,90.6419719,BE,Bridge,Bridge start,72,17.91714285714286,Bridge,LRP028b,17.91714285714286,D,Bhater char Bridge (L),bridge,POINT (90.6419719 23.577916),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,Bridge end,73,15.74727272727273,Bridge,LRP028c,15.74727272727273,D,SHOHAGPURCUL-3,bridge,POINT (90.6421108 23.5776104),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,Information missing,74,396.0000000000008,KmPost,,,,,link,POINT (90.6436941 23.5745271),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,29.067,LRP029a,23.572166,90.6451108,BS,Bridge,Bridge start,75,6.1,Bridge,LRP029a,6.1,D,Anarpara Bridge (L),bridge,POINT (90.6451108 23.572166),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,29.113,LRP029b,23.5718327,90.6453052,BE,Bridge,Bridge end,76,21.551428571428573,Bridge,LRP029b,21.551428571428573,D,Anarpara Bridge (R),bridge,POINT (90.6453052 23.5718327),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,Km post missing,77,646.0000000000008,KmPost,,,,,link,POINT (90.6481663 23.5666111),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
